description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 Rejuvenation Potions -> Full Rejuvenation Potion	1			0					3	rvs,qty=3							rvl																																																																																							0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1			0					2	gpl	hpot						yps																																																																																							0
QUIVERS	0																																																																																																							0
2 Arrows -> Bolts	1			0					2	aqv,qty=2							cqv																																																																																							0
2 Bolts -> Arrows	1			0					2	cqv,qty=2							aqv																																																																																							0
NORMAL WEAPONS	0																																																																																																							0
1 Axe (Any) + 1 Dagger (Any) -> Throwing Axe	1			0					2	axe	knif						tax,nor																																																																																							0
1 Spear (Any) + 1 Arrows -> Javelins	1			0					2	spea	aqv						jav,nor																																																																																							0
MAGIC JEWELRY CRAFTING	0																																																																																																							0
6 Perfect Gems (1 of each type) + 1 Magic Amulet -> Prismatic Amulet	1			0					7	amu,mag	gpv	gpy	gpb	gpg	gpr	gpw	amu,mag,pre=331	50																																																																																						0
1 Magic Ring + 1 Perfect Ruby + 1 Exploding Potion -> Garnet Ring	1			0					3	rin,mag	gpr	opm					rin,mag,pre=372	30																																																																																						0
1 Magic Ring + 1 Perfect Sapphire + 1 Thawing Potion -> Cobalt Ring	1			0					3	rin,mag	gpb	wms					rin,mag,pre=353	30																																																																																						0
1 Magic Ring + 1 Perfect Topaz + 1 Rejuvenation Potion -> Coral Ring	1			0					3	rin,mag	gpy	rvs					rin,mag,pre=392	30																																																																																						0
1 Magic Ring + 1 Perfect Emerald + 1 Antidote Potion -> Jade Ring	1			0					3	rin,mag	gpg	yps					rin,mag,pre=412	30																																																																																						0
1 Magic Shield + 1 Spiked Club + 2 Perfect Skulls -> Magic Shield of Spikes	1			0					4	shld,mag	skz,qty=2	spc					usetype,mag,suf=162	30		60																																																																																				0
4 Healing Potions (Any) + 1 Perfect Ruby + 1 Magic Sword -> Sword of the Leech	1			0					6	swor,mag	gpr	hpot,qty=4					usetype,mag,suf=352	30		60																																																																																				0
1 Perfect Diamond + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	1			0					4	kri	gpw	staf	belt				pole,mag,pre=191	50		60																																																																																				0
REROLL MAGIC	0																																																																																																							0
3 Magic Rings -> Magic Amulet	1			0					3	rin,mag,qty=3							amu,mag		75																																																																																					0
3 Magic Amulets -> Magic Ring	1			0					3	amu,mag,qty=3							rin,mag		75																																																																																					0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1			100					4	any,mag	gem4,qty=3						usetype,mag			100																																																																																				0
RANDOM AFFIX RARE CRAFTS	0																																																																																																							0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1			0					7	any,rar	skz,qty=6						usetype,rar		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1			0					3	any,rar	skz	The Stone of Jordan					usetype,rar		66	66																																																																																				0
REPAIR GEAR	0																																																																																																							0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1			100					2	weap,noe	r09						useitem,rep,qty=255																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1			100					2	armo,noe	r08						useitem,rep,qty=255																																																																																							0
REPAIR AND RECHARGE	0																																																																																																							0
1 Ort Rune + 1 Perfect Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1			100					3	weap,noe	r09	gem4					useitem,rep,rch,qty=255																																																																																							0
1 Ral Rune + 1 Perfect Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1			100					3	armo,noe	r08	gem4					useitem,rep,rch,qty=255																																																																																							0
NORMAL ITEM SOCKETING	0																																																																																																							0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1			100					4	tors,nor,nos	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1			100					4	weap,nor,nos	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1			100					4	helm,nor,nos	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1			100					4	shld,nor,nos	r07	r11	gpr				useitem				sock			1	6																																																																															0
MAGIC ITEM SOCKETING	0																																																																																																							0
3 Perfect Gems (Any) + 1 Magic Weapon -> Socketed Magic Weapon	1			0					4	weap,mag	gem4,qty=3						usetype,mag	25		50	sock			2	2																																																																															0
3 Perfect Gems + 1 Socketed Weapon ->  Socketed Magic Weapon	1			0					4	weap,sock	gem4,qty=3						usetype,mag	30		60	sock			2	2																																																																															0
3 Perfect Gems + 1 Magic Weapon -> Socketed Magic Weapon	1			0					4	weap,mag	gem4,qty=3						usetype,mag	30		60	sock			2	2																																																																															0
RARE ITEM SOCKETING	0																																																																																																							0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	1			0					5	any,rar,nos	skz,qty=3	The Stone of Jordan					useitem,sock=1																																																																																							0
REMOVE SOCKETS	0																																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1			100					3	any,sock	r15	tsc					useitem,uns																																																																																							0
1 Zod Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item (Keeps Socketables)	1			100					3	any,sock	r33	tsc					useitem,rem																																																																																							0
NORMAL ITEM LOWQ -> NORM	0																																																																																																							0
1 Eld Rune + 1 Perfect Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1			100					3	weap,low	r02	gem4					usetype,nor																																																																																							0
1 El Rune + 1 Perfect Gem (Any) + 1 Low Quality Armor -> Normal Armor	1			100					3	armo,low	r01	gem4					usetype,nor																																																																																							0
UNIQUE ITEM UPTIER	0																																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Unique Weapon -> Exceptional Unique Weapon	1			100					4	weap,bas,uni	r08	r12	gpg				useitem,mod,exc				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Unique Armor -> Exceptional Unique Armor	1			100					4	armo,bas,uni	r07	r13	gpw				useitem,mod,exc				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1			100					4	weap,exc,uni	r17	r21	gpg				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	1			100					4	armo,exc,uni	r18	r20	gpw				useitem,mod,eli				levelreq			7	7																																																																															0
RARE ITEM UPTIER	0																																																																																																							0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Normal Rare Weapon -> Exceptional Rare Weapon	1			100					4	weap,bas,rar	r09	r11	gpb				useitem,mod,exc				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Normal Rare Armor -> Exceptional Rare Armor	1			100					4	armo,bas,rar	r08	r10	gpv				useitem,mod,exc				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1			100					4	weap,exc,rar	r19	r22	gpb				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	1			100					4	armo,exc,rar	r18	r21	gpv				useitem,mod,eli				levelreq			7	7																																																																															0
CRAFTED ITEM UPTIER	0																																																																																																							0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Basic Crafted Weapon -> Exceptional Crafted Weapon	1			100					4	weap,bas,crf	r09,qty=1	r11,qty=1	gpb,qty=1				useitem,mod,exc				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Basic Crafted Armor -> Exceptional Crafted Armor	1			100					4	armo,bas,crf	r08,qty=1	r10,qty=1	gpv,qty=1				useitem,mod,exc				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Crafted Weapon -> Elite Crafted Weapon	1			100					4	weap,exc,crf	r19,qty=1	r22,qty=1	gpb,qty=1				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Excetptional Crafted Armor -> Elite Crafted Armor	1			100					4	armo,exc,crf	r18,qty=1	r21,qty=1	gpv,qty=1				useitem,mod,eli				levelreq			7	7																																																																															0
SET ITEM UPTIER	0																																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Set Weapon -> Exceptional Set Weapon	1			100					4	weap,bas,set	r08	r12	gpg				useitem,mod,exc				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Set Armor -> Exceptional Set Armor	1			100					4	armo,bas,set	r07	r13	gpw				useitem,mod,exc				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Set Weapon -> Elite Set Weapon	1			100					4	weap,exc,set	r17	r21	gpg				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	1			100					4	armo,exc,set	r18	r20	gpw				useitem,mod,eli				levelreq			7	7																																																																															0
GEM UPTIER	0																																																																																																							0
RUNE UPTIER	0																																																																																																							0
3 El Runes -> Eld Rune	1			100					3	r01,qty=3							r02																																																																																							0
3 Eld Runes -> Tir Rune	1			100					3	r02,qty=3							r03																																																																																							0
3 Tir Runes -> Nef Rune	1			100					3	r03,qty=3							r04																																																																																							0
3 Nef Runes -> Eth Rune	1			100					3	r04,qty=3							r05																																																																																							0
3 Eth Runes -> Ith Rune	1			100					3	r05,qty=3							r06																																																																																							0
3 Ith Runes -> Tal Rune	1			100					3	r06,qty=3							r07																																																																																							0
3 Tal Runes -> Ral Rune	1			100					3	r07,qty=3							r08																																																																																							0
3 Ral Runes -> Ort Rune	1			100					3	r08,qty=3							r09																																																																																							0
3 Ort Runes -> Thul Rune	1			100					3	r09,qty=3							r10																																																																																							0
3 Thul Runes -> Amn Rune	1			100					3	r10,qty=3							r11																																																																																							0
3 Amn Runes -> Sol Rune	1			100					3	r11,qty=3							r12																																																																																							0
3 Sol Runes -> Shael Rune	1			100					3	r12,qty=3							r13																																																																																							0
3 Shael Runes -> Dol Rune	1			100					3	r13,qty=3							r14																																																																																							0
3 Dol Runes -> Hel Rune	1			100					3	r14,qty=3							r15																																																																																							0
3 Hel Runes -> Io Rune	1			100					3	r15,qty=3							r16																																																																																							0
3 Io Runes -> Lum Rune	1			100					3	r16,qty=3							r17																																																																																							0
3 Lum Runes -> Ko Rune	1			100					3	r17,qty=3							r18																																																																																							0
3 Ko Runes -> Fal Rune	1			100					3	r18,qty=3							r19																																																																																							0
3 Fal Runes-> Lem Rune	1			100					3	r19,qty=3							r20																																																																																							0
3 Lem Runes -> Pul Rune	1			100					3	r20,qty=3							r21																																																																																							0
2 Pul Runes -> Um Rune	1			100					2	r21,qty=2							r22																																																																																							0
2 Um Runes -> Mal Rune	1			100					2	r22,qty=2							r23																																																																																							0
2 Mal Runes -> Ist Rune	1			100					2	r23,qty=2							r24																																																																																							0
2 Ist Runes -> Gul Rune	1			100					2	r24,qty=2							r25																																																																																							0
2 Gul Runes -> Vex Rune	1			100					2	r25,qty=2							r26																																																																																							0
2 Vex Runes -> Ohm Rune	1			100					2	r26,qty=2							r27																																																																																							0
2 Ohm Runes -> Lo Rune	1			100					2	r27,qty=2							r28																																																																																							0
2 Lo Runes -> Sur Rune	1			100					2	r28,qty=2							r29																																																																																							0
2 Sur Runes -> Ber Rune	1			100					2	r29,qty=2							r30																																																																																							0
2 Ber Runes -> Jah Rune	1			100					2	r30,qty=2							r31																																																																																							0
2 Jah Runes -> Cham Rune	1			100					2	r31,qty=2							r32																																																																																							0
2 Cham Runes -> Zod Rune	1			100					2	r32,qty=2							r33																																																																																							0
RUNE DOWNGRADE	0																																																																																																							0
1 Eld Rune + 1 Key-> El Rune	1			100					2	r02	key						useitem																													r01																													key																													0
1 Tir Rune + 1 Key-> Eld Rune	1			100					2	r03	key						useitem																													r02																													key																													0
1 Nef Rune + 1 Key-> Tir Rune	1			100					2	r04	key						useitem																													r03																													key																													0
1 Eth Rune + 1 Key-> Nef Rune	1			100					2	r05	key						useitem																													r04																													key																													0
1 Ith Rune + 1 Key-> Eth Rune	1			100					2	r06	key						useitem																													r05																													key																													0
1 Tal Rune + 1 Key-> Ith Rune	1			100					2	r07	key						useitem																													r06																													key																													0
1 Ral Rune + 1 Key-> Tal Rune	1			100					2	r08	key						useitem																													r07																													key																													0
1 Ort Rune + 1 Key-> Ral Rune	1			100					2	r09	key						useitem																													r08																													key																													0
1 Thul Rune + 1 Key -> Ort Rune	1			100					2	r10	key						useitem																													r09																													key																													0
1 Amn Rune + 1 Key -> Thul Rune	1			100					2	r11	key						useitem																													r10																													key																													0
1 Sol Rune + 1 Key -> Amn Rune	1			100					2	r12	key						useitem																													r11																													key																													0
1 Shael Rune + 1 Key -> Sol Rune	1			100					2	r13	key						useitem																													r12																													key																													0
1 Dol Rune + 1 Key -> Shael Rune	1			100					2	r14	key						useitem																													r13																													key																													0
1 Hel Rune + 1 Key -> Dol Rune	1			100					2	r15	key						useitem																													r14																													key																													0
1 Io Rune + 1 Key -> Hel Rune	1			100					2	r16	key						useitem																													r15																													key																													0
1 Lum Rune + 1 Key -> Io Rune	1			100					2	r17	key						useitem																													r16																													key																													0
1 Ko Rune + 1 Key -> Lum Rune	1			100					2	r18	key						useitem																													r17																													key																													0
1 Fal Rune + 1 Key -> Ko Rune	1			100					2	r19	key						useitem																													r18																													key																													0
1 Lem Rune + 1 Key -> Fal Rune	1			100					2	r20	key						useitem																													r19																													key																													0
1 Pul Rune + 1 Key -> Lem Rune	1			100					2	r21	key						useitem																													r20																													key																													0
1 Um Rune + 1 Key -> Pul Rune	1			100					2	r22	key						useitem																													r21																													key																													0
1 Mal Rune + 1 Key -> Um Rune	1			100					2	r23	key						useitem																													r22																													key																													0
1 Ist Rune + 1 Key -> Mal Rune	1			100					2	r24	key						useitem																													r23																													key																													0
1 Gul Rune + 1 Key -> Ist Rune	1			100					2	r25	key						useitem																													r24																													key																													0
1 Vex Rune + 1 Key -> Gul Rune	1			100					2	r26	key						useitem																													r25																													key																													0
1 Ohm Rune + 1 Key -> Vex Rune	1			100					2	r27	key						useitem																													r26																													key																													0
1 Lo Rune + 1 Key -> Ohm Rune	1			100					2	r28	key						useitem																													r27																													key																													0
1 Sur Rune + 1 Key -> Lo Rune	1			100					2	r29	key						useitem																													r28																													key																													0
1 Ber Rune + 1 Key -> Sur Rune	1			100					2	r30	key						useitem																													r29																													key																													0
1 Jah Rune + 1 Key -> Ber Rune	1			100					2	r31	key						useitem																													r30																													key																													0
1 Cham Rune + 1 Key -> Jah Rune	1			100					2	r32	key						useitem																													r31																													key																													0
1 Zod  Rune + 1 Key -> Cham Rune	1			100					2	r33	key						useitem																													r32																													key																													0
GEMS STACKING	0																																																																																																							0
Perfect Amethyst Unstack	1			0	18	70	1		1	8pa							gpv																																																																																							0
Perfect Amethyst Stack	1			0					1	gpv							8pa																																																																																							0
Perfect Diamond Unstack	1			0	18	70	1		1	8pd							gpw																																																																																							0
Perfect Diamond Stack	1			0					1	gpw							8pd																																																																																							0
Perfect Emerald Unstack	1			0	18	70	1		1	8pe							gpg																																																																																							0
Perfect Emerald Stack	1			0					1	gpg							8pe																																																																																							0
Perfect Ruby Unstack	1			0	18	70	1		1	8pr							gpr																																																																																							0
Perfect Ruby Stack	1			0					1	gpr							8pr																																																																																							0
Perfect Sapphire Unstack	1			0	18	70	1		1	8ps							gpb																																																																																							0
Perfect Sapphire Stack	1			0					1	gpb							8ps																																																																																							0
Perfect Skull Unstack	1			0	18	70	1		1	8pk							skz																																																																																							0
Perfect Skull Stack	1			0					1	skz							8pk																																																																																							0
Perfect Topaz Unstack	1			0	18	70	1		1	8pt							gpy																																																																																							0
Perfect Topaz Stack	1			0					1	gpy							8pt																																																																																							0
RUNES STACKING	0																																																																																																							0
El Rune Unstack	1			100	18	70	1		1	s01							r01																																																																																							0
El Rune Stack	1			100					1	r01							s01																																																																																							0
Eld Rune Unstack	1			100	18	70	1		1	s02							r02																																																																																							0
Eld Rune Stack	1			100					1	r02							s02																																																																																							0
Tir Rune Unstack	1			100	18	70	1		1	s03							r03																																																																																							0
Tir Rune Stack	1			100					1	r03							s03																																																																																							0
Nef Rune Unstack	1			100	18	70	1		1	s04							r04																																																																																							0
Nef Rune Stack	1			100					1	r04							s04																																																																																							0
Eth Rune Unstack	1			100	18	70	1		1	s05							r05																																																																																							0
Eth Rune Stack	1			100					1	r05							s05																																																																																							0
Ith Rune Unstack	1			100	18	70	1		1	s06							r06																																																																																							0
Ith Rune Stack	1			100					1	r06							s06																																																																																							0
Tal Rune Unstack	1			100	18	70	1		1	s07							r07																																																																																							0
Tal Rune Stack	1			100					1	r07							s07																																																																																							0
Ral Rune Unstack	1			100	18	70	1		1	s08							r08																																																																																							0
Ral Rune Stack	1			100					1	r08							s08																																																																																							0
Ort Rune Unstack	1			100	18	70	1		1	s09							r09																																																																																							0
Ort Rune Stack	1			100					1	r09							s09																																																																																							0
Thul Rune Unstack	1			100	18	70	1		1	s10							r10																																																																																							0
Thul Rune Stack	1			100					1	r10							s10																																																																																							0
Amn Rune Unstack	1			100	18	70	1		1	s11							r11																																																																																							0
Amn Rune Stack	1			100					1	r11							s11																																																																																							0
Sol Rune Unstack	1			100	18	70	1		1	s12							r12																																																																																							0
Sol Rune Stack	1			100					1	r12							s12																																																																																							0
Shael Rune Unstack	1			100	18	70	1		1	s13							r13																																																																																							0
Shael Rune Stack	1			100					1	r13							s13																																																																																							0
Dol Rune Unstack	1			100	18	70	1		1	s14							r14																																																																																							0
Dol Rune Stack	1			100					1	r14							s14																																																																																							0
Hel Rune Unstack	1			100	18	70	1		1	s15							r15																																																																																							0
Hel Rune Stack	1			100					1	r15							s15																																																																																							0
Io Rune Unstack	1			100	18	70	1		1	s16							r16																																																																																							0
Io Rune Stack	1			100					1	r16							s16																																																																																							0
Lum Rune Unstack	1			100	18	70	1		1	s17							r17																																																																																							0
Lum Rune Stack	1			100					1	r17							s17																																																																																							0
Ko Rune Unstack	1			100	18	70	1		1	s18							r18																																																																																							0
Ko Rune Stack	1			100					1	r18							s18																																																																																							0
Fal Rune Unstack	1			100	18	70	1		1	s19							r19																																																																																							0
Fal Rune Stack	1			100					1	r19							s19																																																																																							0
Lem Rune Unstack	1			100	18	70	1		1	s20							r20																																																																																							0
Lem Rune Stack	1			100					1	r20							s20																																																																																							0
Pul Rune Unstack	1			100	18	70	1		1	s21							r21																																																																																							0
Pul Rune Stack	1			100					1	r21							s21																																																																																							0
Um Rune Unstack	1			100	18	70	1		1	s22							r22																																																																																							0
Um Rune Stack	1			100					1	r22							s22																																																																																							0
Mal Rune Unstack	1			100	18	70	1		1	s23							r23																																																																																							0
Mal Rune Stack	1			100					1	r23							s23																																																																																							0
Ist Rune Unstack	1			100	18	70	1		1	s24							r24																																																																																							0
Ist Rune Stack	1			100					1	r24							s24																																																																																							0
Gul Rune Unstack	1			100	18	70	1		1	s25							r25																																																																																							0
Gul Rune Stack	1			100					1	r25							s25																																																																																							0
Vex Rune Unstack	1			100	18	70	1		1	s26							r26																																																																																							0
Vex Rune Stack	1			100					1	r26							s26																																																																																							0
Ohm Rune Unstack	1			100	18	70	1		1	s27							r27																																																																																							0
Ohm Rune Stack	1			100					1	r27							s27																																																																																							0
Lo Rune Unstack	1			100	18	70	1		1	s28							r28																																																																																							0
Lo Rune Stack	1			100					1	r28							s28																																																																																							0
Sur Rune Unstack	1			100	18	70	1		1	s29							r29																																																																																							0
Sur Rune Stack	1			100					1	r29							s29																																																																																							0
Ber Rune Unstack	1			100	18	70	1		1	s30							r30																																																																																							0
Ber Rune Stack	1			100					1	r30							s30																																																																																							0
Jah Rune Unstack	1			100	18	70	1		1	s31							r31																																																																																							0
Jah Rune Stack	1			100					1	r31							s31																																																																																							0
Cham Rune Unstack	1			100	18	70	1		1	s32							r32																																																																																							0
Cham Rune Stack	1			100					1	r32							s32																																																																																							0
Zod Rune Unstack	1			100	18	70	1		1	s33							r33																																																																																							0
Zod Rune Stack	1			100					1	r33							s33																																																																																							0
ESSENCES STACKING	0																																																																																																							0
Twisted Essence of Suffering Unstack	1			100	18	70	1		1	ses							tes																																																																																							0
Twisted Essence of Suffering Stack	1			100					1	tes							ses																																																																																							0
Charged Essence of Hatred Unstack	1			100	18	70	1		1	seh							ceh																																																																																							0
Charged Essence of Hatred Stack	1			100					1	ceh							seh																																																																																							0
Burning Essence of Terror Unstack	1			100	18	70	1		1	set							bet																																																																																							0
Burning Essence of Terror Stack	1			100					1	bet							set																																																																																							0
Festering Essence of Destruction Unstack	1			100	18	70	1		1	sed							fed																																																																																							0
Festering Essence of Destruction Stack	1			100					1	fed							sed																																																																																							0
Token of Absolution Unstack	1			100	18	70	1		1	soa							toa																																																																																							0
Token of Absolution Stack	1			100					1	toa							soa																																																																																							0
UBERS ITEMS STACKING	0																																																																																																							0
Key of Terror Unstack	1			100	18	70	1		1	p1s							pk1																																																																																							0
Key of Terror Stack	1			100					1	pk1							p1s																																																																																							0
Key of Hatred Unstack	1			100	18	70	1		1	p2s							pk2																																																																																							0
Key of Hatred Stack	1			100					1	pk2							p2s																																																																																							0
Key of Destruction Unstack	1			100	18	70	1		1	p3s							pk3																																																																																							0
Key of Destruction Stack	1			100					1	pk3							p3s																																																																																							0
Diablo's Horn Unstack	1			100	18	70	1		1	shn							dhn																																																																																							0
Diablo's Horn Stack	1			100					1	dhn							shn																																																																																							0
Baal's Eye Unstack	1			100	18	70	1		1	sey							bey																																																																																							0
Baal's Eye Stack	1			100					1	bey							sey																																																																																							0
Mephisto's Brain Unstack	1			100	18	70	1		1	brs							mbr																																																																																							0
Mephisto's Brain Stack	1			100					1	mbr							brs																																																																																							0
CRAFT ITEMS STACKING	0																																																																																																							0
Orb of Eternity Unstack	1			100	18	70	1		1	8rb							erb																																																																																							0
Orb of Eternity Stack	1			100					1	erb							8rb																																																																																							0
Larzuk's Gimlet Unstack	1			100	18	70	1		1	8zg							lzg																																																																																							0
Larzuk's Gimlet Stack	1			100					1	lzg							8zg																																																																																							0
Jewel Fragment Unstack	1			100	18	70	1		1	8fg							jfg																																																																																							0
Jewel Fragment Stack	1			100					1	jfg							8fg																																																																																							0
Charm Core Unstack	1			100	18	70	1		1	8re							cre																																																																																							0
Charm Core Stack	1			100					1	cre							8re																																																																																							0
JEWEL TO FRAGMENT	0																																																																																																							0
Magic Jewel -> 1 Jewel Fragment	1			100					1	jew,mag							8fg,qty=1																																																																																							0
Rare Jewel -> 2 Jewel Fragment	1			100					1	jew,rar							8fg,qty=2																																																																																							0
Unique Jewel -> 3 Jewel Fragment	1			100					1	jew,uni							8fg,qty=3																																																																																							0
QUANTITY MASTER	0																																																																																																							0
Stack of 2 (Any) -> Stack-1 + Target Output	1			0	18	70	2		1	misc							usetype,qty=1																													usetype,qty=1																																																										0
Stack of 3 (Any) -> Stack-1 + Target Output	1			0	18	70	3		1	misc							usetype,qty=2																													usetype,qty=1																																																										0
Stack of 4 (Any) -> Stack-1 + Target Output	1			0	18	70	4		1	misc							usetype,qty=3																													usetype,qty=1																																																										0
