Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
36	432	898	1342	432	1056	1578	750	1476	3092	750	1476	3092	364	1050	3234	364	1050	4312	46	62	86	46	62	86	1980	5136	7704	1980	5136	7704
37	444	918	1370	444	1080	1612	772	1512	3168	772	1512	3168	380	1118	3280	380	1118	4374	46	62	86	46	62	86	2118	5490	8236	2118	5490	8236
38	456	938	1400	456	1104	1648	794	1548	3244	794	1548	3244	396	1186	3324	396	1186	4432	48	64	88	48	64	88	2266	5878	8818	2266	5878	8818
39	468	958	1432	468	1128	1684	816	1584	3320	816	1584	3320	412	1254	3370	412	1254	4494	50	66	92	50	66	92	2424	6288	9432	2424	6288	9432
40	480	980	1460	480	1152	1718	838	1620	3396	838	1620	3396	430	1322	3414	430	1322	4552	50	66	92	50	66	92	2594	6730	10096	2594	6730	10096
41	492	1000	1490	492	1176	1754	860	1656	3472	860	1656	3472	450	1392	3460	450	1392	4614	52	70	96	52	70	96	2776	7200	10800	2776	7200	10800
42	504	1020	1520	504	1200	1788	882	1692	3548	882	1692	3548	468	1458	3504	468	1458	4672	52	70	96	52	70	96	2970	7704	11556	2970	7704	11556
43	516	1040	1550	516	1224	1824	904	1728	3624	904	1728	3624	486	1528	3550	486	1528	4734	54	72	100	54	72	100	3178	8242	12364	3178	8242	12364
44	528	1060	1582	528	1248	1860	926	1764	3700	926	1764	3700	506	1594	3594	506	1594	4792	56	74	104	56	74	104	3386	8818	13228	3386	8818	13228
45	540	1082	1610	540	1272	1894	948	1800	3776	948	1800	3776	524	1664	3640	524	1664	4854	56	74	104	56	74	104	3594	9436	14154	3594	9436	14154
46	552	1102	1640	552	1296	1930	970	1836	3852	970	1836	3852	542	1734	3684	542	1734	4912	58	78	108	58	78	108	3802	10102	15154	3802	10102	15154
47	564	1122	1670	564	1320	1964	992	1872	3928	992	1872	3928	562	1800	3730	562	1800	4974	58	78	108	58	78	108	4010	10804	16206	4010	10804	16206
48	576	1142	1700	576	1344	2000	1014	1908	4004	1014	1908	4004	580	1870	3774	580	1870	5032	60	80	112	60	80	112	4218	11566	17350	4218	11566	17350
49	588	1162	1730	588	1368	2036	1036	1944	4080	1036	1944	4080	598	1936	3820	598	1936	5094	62	82	114	62	82	114	4426	12372	18558	4426	12372	18558
50	600	1184	1760	600	1392	2070	1058	1980	4156	1058	1980	4156	620	2006	3864	620	2006	5152	62	82	114	62	82	114	4634	13236	19854	4634	13236	19854
51	612	1204	1790	612	1416	2106	1080	2016	4232	1080	2016	4232	642	2074	3910	642	2074	5214	64	86	118	64	86	118	4842	14160	21240	4842	14160	21240
52	624	1224	1820	624	1440	2140	1102	2052	4308	1102	2052	4308	662	2142	3954	662	2142	5272	64	86	118	64	86	118	5050	15012	22518	5050	15012	22518
53	636	1244	1850	636	1464	2176	1124	2088	4384	1124	2088	4384	684	2210	4000	684	2210	5334	66	88	122	66	88	122	5258	15912	23868	5258	15912	23868
54	648	1264	1880	648	1488	2212	1146	2124	4460	1146	2124	4460	704	2278	4060	704	2278	5414	68	90	126	68	90	126	5466	16870	25306	5466	16870	25306
55	660	1286	1910	660	1512	2246	1168	2160	4536	1168	2160	4536	726	2346	4150	726	2346	5534	68	90	126	68	90	126	5674	17884	26826	5674	17884	26826
56	672	1306	1940	672	1536	2282	1190	2196	4612	1190	2196	4612	748	2416	4270	748	2416	5694	70	94	130	70	94	130	5882	18954	28432	5882	18954	28432
57	684	1326	1968	684	1560	2316	1212	2232	4688	1212	2232	4688	768	2482	4444	768	2482	5924	70	94	130	70	94	130	6090	20088	30132	6090	20088	30132
58	696	1346	2000	696	1584	2352	1234	2268	4764	1234	2268	4764	790	2552	4616	790	2552	6154	72	96	134	72	96	134	6298	21294	31942	6298	21294	31942
59	708	1366	2030	708	1608	2388	1256	2304	4840	1256	2304	4840	812	2618	4788	812	2618	6384	74	98	136	74	98	136	6506	22572	33858	6506	22572	33858
60	720	1388	2058	720	1632	2422	1278	2340	4916	1278	2340	4916	836	2688	4960	836	2688	6614	74	98	136	74	98	136	6714	23928	35892	6714	23928	35892
61	732	1408	2090	732	1656	2458	1300	2376	4992	1300	2376	4992	860	2758	5134	860	2758	6844	76	102	140	76	102	140	6922	25360	38040	6922	25360	38040
62	744	1428	2118	744	1680	2492	1322	2412	5068	1322	2412	5068	884	2824	5306	884	2824	7074	76	102	140	76	102	140	7130	26884	40326	7130	26884	40326
63	756	1448	2148	756	1704	2528	1344	2448	5144	1344	2448	5144	908	2894	5478	908	2894	7304	78	104	144	78	104	144	7338	28498	42748	7338	28498	42748
64	768	1468	2180	768	1728	2564	1366	2484	5220	1366	2484	5220	932	2960	5650	932	2960	7534	78	104	144	78	104	144	7546	30208	45312	7546	30208	45312
65	780	1490	2208	780	1752	2598	1388	2520	5296	1388	2520	5296	954	3030	5824	954	3030	7764	80	106	148	80	106	148	7754	32020	48030	7754	32020	48030
66	792	1510	2238	792	1776	2634	1410	2556	5372	1410	2556	5372	978	3098	5996	978	3098	7994	82	110	152	82	110	152	7962	33832	50748	7962	33832	50748
67	804	1530	2268	804	1800	2668	1432	2592	5448	1432	2592	5448	1002	3166	6168	1002	3166	8224	82	110	152	82	110	152	8170	35644	53466	8170	35644	53466
68	816	1550	2298	816	1824	2704	1454	2628	5524	1454	2628	5524	1026	3234	6340	1026	3234	8454	84	112	156	84	112	156	8378	37456	56184	8378	37456	56184
69	828	1570	2330	828	1848	2740	1476	2664	5600	1476	2664	5600	1050	3302	6514	1050	3302	8684	86	114	160	86	114	160	8586	39268	58902	8586	39268	58902
70	840	1592	2358	840	1872	2774	1498	2700	5676	1498	2700	5676	1078	3370	6686	1078	3370	8914	86	114	160	86	114	160	8794	41080	61620	8794	41080	61620
71	852	1612	2388	852	1896	2810	1520	2736	5752	1520	2736	5752	1104	3440	6858	1104	3440	9144	88	118	162	88	118	162	9002	42892	64338	9002	42892	64338
72	864	1632	2418	864	1920	2844	1542	2772	5828	1542	2772	5828	1130	3506	7030	1130	3506	9374	88	118	162	88	118	162	9210	44704	67056	9210	44704	67056
73	876	1652	2448	876	1944	2880	1564	2808	5904	1564	2808	5904	1158	3576	7204	1158	3576	9604	90	120	166	90	120	166	9418	46516	69774	9418	46516	69774
74	888	1672	2478	888	1968	2916	1586	2844	5980	1586	2844	5980	1184	3642	7376	1184	3642	9834	92	122	170	92	122	170	9626	48328	72492	9626	48328	72492
75	900	1694	2508	900	1992	2950	1608	2880	6056	1608	2880	6056	1210	3712	7548	1210	3712	10064	92	122	170	92	122	170	9834	50140	75210	9834	50140	75210
76	912	1714	2538	912	2016	2986	1630	2916	6132	1630	2916	6132	1236	3782	7720	1236	3782	10294	94	126	174	94	126	174	10042	51952	77928	10042	51952	77928
77	924	1734	2568	924	2040	3020	1652	2952	6208	1652	2952	6208	1264	3848	7894	1264	3848	10524	94	126	174	94	126	174	10250	53764	80646	10250	53764	80646
78	936	1754	2598	936	2064	3056	1674	2988	6284	1674	2988	6284	1290	3918	8066	1290	3918	10754	96	128	178	96	128	178	10458	55576	83364	10458	55576	83364
79	948	1774	2628	948	2088	3092	1696	3024	6360	1696	3024	6360	1316	3984	8238	1316	3984	10984	98	130	182	98	130	182	10666	57388	86082	10666	57388	86082
80	960	1796	2658	960	2112	3126	1718	3060	6436	1718	3060	6436	1346	4054	8410	1346	4054	11214	98	130	182	98	130	182	10874	59200	88800	10874	59200	88800
81	972	1816	2688	972	2136	3162	1740	3096	6512	1740	3096	6512	1376	4122	8584	1376	4122	11444	100	134	186	100	134	186	11082	61012	91518	11082	61012	91518
82	984	1836	2716	984	2160	3196	1762	3132	6588	1762	3132	6588	1404	4190	8756	1404	4190	11674	100	134	186	100	134	186	11290	62824	94236	11290	62824	94236
83	996	1856	2748	996	2184	3232	1784	3168	6664	1784	3168	6664	1434	4258	8928	1434	4258	11904	102	136	188	102	136	188	11498	64636	96954	11498	64636	96954
84	1008	1876	2778	1008	2208	3268	1806	3204	6740	1806	3204	6740	1464	4326	9100	1464	4326	12134	102	136	188	102	136	188	11706	66448	99672	11706	66448	99672
85	1020	1898	2806	1020	2232	3302	1828	3240	6816	1828	3240	6816	1492	4394	9274	1492	4394	12364	104	138	192	104	138	192	11914	68260	102390	11914	68260	102390
86	1032	1918	2838	1032	2256	3338	1850	3276	6892	1850	3276	6892	1522	4464	9446	1522	4464	12594	106	140	196	106	140	196	12122	70072	105108	12122	70072	105108
87	1044	1938	2866	1044	2280	3372	1872	3312	6968	1872	3312	6968	1550	4530	9618	1550	4530	12824	106	140	196	106	140	196	12330	71884	107826	12330	71884	107826
88	1056	1958	2896	1056	2304	3408	1894	3348	7044	1894	3348	7044	1580	4600	9790	1580	4600	13054	108	144	200	108	144	200	12538	73696	110544	12538	73696	110544
89	1068	1978	2928	1068	2328	3444	1916	3384	7120	1916	3384	7120	1610	4666	9964	1610	4666	13284	110	146	204	110	146	204	12746	75508	113262	12746	75508	113262
90	1080	2000	2956	1080	2352	3478	1938	3420	7196	1938	3420	7196	1642	4736	10136	1642	4736	13514	110	146	204	110	146	204	12954	77320	115980	12954	77320	115980
91	1092	2020	2986	1092	2376	3514	1960	3456	7272	1960	3456	7272	1674	4806	10308	1674	4806	13744	112	148	208	112	148	208	13162	79132	118698	13162	79132	118698
92	1104	2040	3016	1104	2400	3548	1982	3492	7348	1982	3492	7348	1706	4872	10480	1706	4872	13974	112	148	208	112	148	208	13370	80944	121416	13370	80944	121416
93	1116	2060	3046	1116	2424	3584	2004	3528	7424	2004	3528	7424	1736	4942	10654	1736	4942	14204	114	152	210	114	152	210	13578	82756	124134	13578	82756	124134
94	1128	2080	3078	1128	2448	3620	2026	3564	7500	2026	3564	7500	1768	5008	10826	1768	5008	14434	116	154	214	116	154	214	13786	84568	126852	13786	84568	126852
95	1140	2102	3106	1140	2472	3654	2048	3600	7576	2048	3600	7576	1800	5078	10998	1800	5078	14664	116	154	214	116	154	214	13994	86380	129570	13994	86380	129570
96	1152	2122	3136	1152	2496	3690	2070	3636	7652	2070	3636	7652	1832	5146	11170	1832	5146	14894	118	156	218	118	156	218	14202	88192	132288	14202	88192	132288
97	1164	2142	3166	1164	2520	3724	2092	3672	7728	2092	3672	7728	1864	5214	11344	1864	5214	15124	118	156	218	118	156	218	14410	90004	135006	14410	90004	135006
98	1176	2162	3196	1176	2544	3760	2114	3708	7804	2114	3708	7804	1896	5282	11516	1896	5282	15354	120	160	222	120	160	222	14618	91816	137724	14618	91816	137724
99	1188	2182	3226	1188	2568	3796	2136	3744	7880	2136	3744	7880	1928	5350	11688	1928	5350	15584	120	160	222	120	160	222	14826	93628	140442	14826	93628	140442
100	1200	2204	3256	1200	2592	3830	2158	3780	7956	2158	3780	7956	1964	5418	11860	1964	5418	15814	122	162	226	122	162	226	15034	95440	143160	15034	95440	143160
101	1212	2224	3286	1212	2616	3866	2180	3816	8032	2180	3816	8032	1998	5488	12034	1998	5488	16044	124	164	230	124	164	230	15242	97252	145878	15242	97252	145878
102	1224	2244	3316	1224	2640	3900	2202	3852	8108	2202	3852	8108	2032	5554	12206	2032	5554	16274	124	164	230	124	164	230	15450	99064	148596	15450	99064	148596
103	1236	2264	3346	1236	2664	3936	2224	3888	8184	2224	3888	8184	2066	5624	12378	2066	5624	16504	126	168	234	126	168	234	15658	100876	151314	15658	100876	151314
104	1248	2284	3376	1248	2688	3972	2246	3924	8260	2246	3924	8260	2102	5690	12550	2102	5690	16734	126	168	234	126	168	234	15866	102688	154032	15866	102688	154032
105	1260	2306	3406	1260	2712	4006	2268	3960	8336	2268	3960	8336	2136	5760	12724	2136	5760	16964	128	170	236	128	170	236	16074	104500	156750	16074	104500	156750
106	1272	2326	3436	1272	2736	4042	2290	3996	8412	2290	3996	8412	2170	5830	12896	2170	5830	17194	130	172	240	130	172	240	16282	106312	159468	16282	106312	159468
107	1284	2346	3464	1284	2760	4076	2312	4032	8488	2312	4032	8488	2206	5896	13068	2206	5896	17424	130	172	240	130	172	240	16490	108124	162186	16490	108124	162186
108	1296	2366	3496	1296	2784	4112	2334	4068	8564	2334	4068	8564	2240	5966	13240	2240	5966	17654	132	176	244	132	176	244	16698	109936	164904	16698	109936	164904
109	1308	2386	3526	1308	2808	4148	2356	4104	8640	2356	4104	8640	2274	6032	13414	2274	6032	17884	134	178	248	134	178	248	16906	111748	167622	16906	111748	167622
110	4200	4200	4200	4200	4200	4200	13064	13064	13064	13064	13064	13064	20000	20000	20000	20000	20000	20000	260	260	260	260	260	260	320000	320000	320000	320000	320000	320000
